unique_id,pdf_file,page_num,first_name,last_name,middle_name,middle_initial,context,title,entity_value,file_id,cluster_id
177,usct_pension_files\A_B\Abbs Wilkins.pdf,49,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
182,usct_pension_files\A_B\Abbs Wilkins.pdf,50,Wilkins,Abbs,,,pension claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
183,usct_pension_files\A_B\Abbs Wilkins.pdf,51,Wilkens,Abbs,,,"Claimant, soldier",,Wilkens Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
184,usct_pension_files\A_B\Abbs Wilkins.pdf,51,Wilkens,Abbs,,,Name under which soldier served,,Wilkens Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
188,usct_pension_files\A_B\Abbs Wilkins.pdf,52,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
193,usct_pension_files\A_B\Abbs Wilkins.pdf,53,Wilkin,Abbs,,,Claimant (affiant),,Wilkin Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
196,usct_pension_files\A_B\Abbs Wilkins.pdf,54,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
199,usct_pension_files\A_B\Abbs Wilkins.pdf,55,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
204,usct_pension_files\A_B\Abbs Wilkins.pdf,56,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
210,usct_pension_files\A_B\Abbs Wilkins.pdf,57,Wilkins,Abb,,,soldier,,Wilkins Abb,usct_pension_files\A_B\Abbs Wilkins.pdf,1
211,usct_pension_files\A_B\Abbs Wilkins.pdf,57,Hickins,Abbs,,,soldier,Private,Hickins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
212,usct_pension_files\A_B\Abbs Wilkins.pdf,57,Milkins,Abbs,,,soldier (alternate name),,Milkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
216,usct_pension_files\A_B\Abbs Wilkins.pdf,58,William,Abbs,,,"Claimant, soldier",,William Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
217,usct_pension_files\A_B\Abbs Wilkins.pdf,58,Wilkin,Abbs,,,"Affiant, witness",,Wilkin Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
220,usct_pension_files\A_B\Abbs Wilkins.pdf,59,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
224,usct_pension_files\A_B\Abbs Wilkins.pdf,60,Wilkins,Abbs,,,claimant for disability pension,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
227,usct_pension_files\A_B\Abbs Wilkins.pdf,61,Wilkins,Abbs,,,Claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
233,usct_pension_files\A_B\Abbs Wilkins.pdf,62,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
237,usct_pension_files\A_B\Abbs Wilkins.pdf,63,Wilkins,Abbs,,,Applicant for Original,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
238,usct_pension_files\A_B\Abbs Wilkins.pdf,64,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
239,usct_pension_files\A_B\Abbs Wilkins.pdf,64,Milkins,Abbs,,,also borne as soldier,,Milkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
240,usct_pension_files\A_B\Abbs Wilkins.pdf,64,Milkin,Abbs,,,also borne as soldier,,Milkin Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
244,usct_pension_files\A_B\Abbs Wilkins.pdf,65,Wilkens,Abbs,,,soldier,,Wilkens Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
249,usct_pension_files\A_B\Abbs Wilkins.pdf,66,Wilkins,Abbs,,,"soldier, claimant",,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
258,usct_pension_files\A_B\Abbs Wilkins.pdf,69,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
260,usct_pension_files\A_B\Abbs Wilkins.pdf,70,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
262,usct_pension_files\A_B\Abbs Wilkins.pdf,72,Wilkins,Abbs,,,claimant,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
282,usct_pension_files\A_B\Abbs Wilkins.pdf,76,Wilkins,Abbs,,,Soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
285,usct_pension_files\A_B\Abbs Wilkins.pdf,77,Wilkins,Abbs,,,soldier,,Wilkins Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,1
3,usct_pension_files\A_B\Abbs Wilkins.pdf,2,B,E Cadot,,,Examiner for approval,Examiner,B E Cadot,usct_pension_files\A_B\Abbs Wilkins.pdf,3
4,usct_pension_files\A_B\Abbs Wilkins.pdf,2,R,B Dunill,,,Legal Reviewer,Legal Reviewer,R B Dunill,usct_pension_files\A_B\Abbs Wilkins.pdf,4
5,usct_pension_files\A_B\Abbs Wilkins.pdf,2,C,J Wade,,,Re-Reviewer,Re-Reviewer,C J Wade,usct_pension_files\A_B\Abbs Wilkins.pdf,5
6,usct_pension_files\A_B\Abbs Wilkins.pdf,2,,,,,Owner of the document,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
7,usct_pension_files\A_B\Abbs Wilkins.pdf,2,,,,,Attorney or State Representative,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
8,usct_pension_files\A_B\Abbs Wilkins.pdf,2,,,,,Agent to pay,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
66,usct_pension_files\A_B\Abbs Wilkins.pdf,14,,,,,addressed correspondence,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
71,usct_pension_files\A_B\Abbs Wilkins.pdf,15,,,,,,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
106,usct_pension_files\A_B\Abbs Wilkins.pdf,25,,,,,Notary public witnessing the declaration.,Notary Public,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
107,usct_pension_files\A_B\Abbs Wilkins.pdf,25,,,,,No context provided for this title.,Pensioner,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
115,usct_pension_files\A_B\Abbs Wilkins.pdf,29,,,,,soldier,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
116,usct_pension_files\A_B\Abbs Wilkins.pdf,29,,,,,claimant,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
117,usct_pension_files\A_B\Abbs Wilkins.pdf,29,,,,,,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
122,usct_pension_files\A_B\Abbs Wilkins.pdf,31,,,,,,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
123,usct_pension_files\A_B\Abbs Wilkins.pdf,31,,,,,,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
124,usct_pension_files\A_B\Abbs Wilkins.pdf,31,,,,,,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
126,usct_pension_files\A_B\Abbs Wilkins.pdf,33,,,,,soldier,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
145,usct_pension_files\A_B\Abbs Wilkins.pdf,39,,,,,,Pension Agent,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
203,usct_pension_files\A_B\Abbs Wilkins.pdf,55,,,,,,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
215,usct_pension_files\A_B\Abbs Wilkins.pdf,57,,,,,administrative role,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
221,usct_pension_files\A_B\Abbs Wilkins.pdf,59,,,,,notary,Justice of The peace,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
222,usct_pension_files\A_B\Abbs Wilkins.pdf,59,,,,,,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
223,usct_pension_files\A_B\Abbs Wilkins.pdf,59,,,,,,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
230,usct_pension_files\A_B\Abbs Wilkins.pdf,61,,,,,Clerk of the County Court,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
235,usct_pension_files\A_B\Abbs Wilkins.pdf,62,,,,,Secretary of the examination board,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
236,usct_pension_files\A_B\Abbs Wilkins.pdf,62,,,,,Treasurer of the examination board,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
243,usct_pension_files\A_B\Abbs Wilkins.pdf,64,,,,,officer in charge,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
248,usct_pension_files\A_B\Abbs Wilkins.pdf,65,,,,,Attorney,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
254,usct_pension_files\A_B\Abbs Wilkins.pdf,66,,,,,clerk of the court,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
255,usct_pension_files\A_B\Abbs Wilkins.pdf,67,,,,,testimony corroborator,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
275,usct_pension_files\A_B\Abbs Wilkins.pdf,75,,,,,,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
284,usct_pension_files\A_B\Abbs Wilkins.pdf,76,,,,,Owner of Hardware Store,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
289,usct_pension_files\A_B\Abbs Wilkins.pdf,77,,,,,,,,usct_pension_files\A_B\Abbs Wilkins.pdf,6
10,usct_pension_files\A_B\Abbs Wilkins.pdf,3,Dc,Buckingham,,,examiner,Examiner,D C Buckingham,usct_pension_files\A_B\Abbs Wilkins.pdf,10
11,usct_pension_files\A_B\Abbs Wilkins.pdf,3,E,Singletary,,,legal reviewer,Legal Reviewer,E Singletary,usct_pension_files\A_B\Abbs Wilkins.pdf,11
12,usct_pension_files\A_B\Abbs Wilkins.pdf,3,Jb,Albright,,,re-reviewer,Re-Reviewer,J B Albright,usct_pension_files\A_B\Abbs Wilkins.pdf,12
14,usct_pension_files\A_B\Abbs Wilkins.pdf,4,G,D Mcdonnell,,,Examiner who submitted for approval,Examiner,G D Mcdonnell,usct_pension_files\A_B\Abbs Wilkins.pdf,14
15,usct_pension_files\A_B\Abbs Wilkins.pdf,4,M,H Hamburger,,,Legal Reviewer,Legal Reviewer,M H Hamburger,usct_pension_files\A_B\Abbs Wilkins.pdf,15
21,usct_pension_files\A_B\Abbs Wilkins.pdf,5,Mh,Hamburger,,,legal reviewer,Legal Reviewer,Mh Hamburger,usct_pension_files\A_B\Abbs Wilkins.pdf,15
16,usct_pension_files\A_B\Abbs Wilkins.pdf,4,W,W Kinsley,,,Re-Reviewer,Re-Reviewer,W W Kinsley,usct_pension_files\A_B\Abbs Wilkins.pdf,16
17,usct_pension_files\A_B\Abbs Wilkins.pdf,4,B,G Humphreys,,,Notary; Claimant does not write,,B G Humphreys,usct_pension_files\A_B\Abbs Wilkins.pdf,17
19,usct_pension_files\A_B\Abbs Wilkins.pdf,5,Wm,Archer,V,V,recognized attorney,Attorney,Wm V Archer,usct_pension_files\A_B\Abbs Wilkins.pdf,19
20,usct_pension_files\A_B\Abbs Wilkins.pdf,5,Ed,Duckett,,,examiner for approval,Examiner,E D Duckett,usct_pension_files\A_B\Abbs Wilkins.pdf,20
22,usct_pension_files\A_B\Abbs Wilkins.pdf,5,Wp,Kinsey,,,medical examiner,Medical Examiner,W P Kinsey,usct_pension_files\A_B\Abbs Wilkins.pdf,22
24,usct_pension_files\A_B\Abbs Wilkins.pdf,6,Wm,Fletcher & Co,,,Recognized Attorney.,,Wm Fletcher & Co,usct_pension_files\A_B\Abbs Wilkins.pdf,24
129,usct_pension_files\A_B\Abbs Wilkins.pdf,35,Wm,Fletcher,,,attorney,,Wm Fletcher,usct_pension_files\A_B\Abbs Wilkins.pdf,24
150,usct_pension_files\A_B\Abbs Wilkins.pdf,41,Wm,Fletcher,,,Attorney,,Wm Fletcher,usct_pension_files\A_B\Abbs Wilkins.pdf,24
185,usct_pension_files\A_B\Abbs Wilkins.pdf,51,Wm,Fletcher,,,Attorney to prosecute claim,,Wm Fletcher,usct_pension_files\A_B\Abbs Wilkins.pdf,24
189,usct_pension_files\A_B\Abbs Wilkins.pdf,52,Wm,Fletcher,,,pension application filer,,Wm Fletcher,usct_pension_files\A_B\Abbs Wilkins.pdf,24
197,usct_pension_files\A_B\Abbs Wilkins.pdf,54,Wm,Fletcher,,,Attorney and Solicitor of Claims,,Wm Fletcher,usct_pension_files\A_B\Abbs Wilkins.pdf,24
277,usct_pension_files\A_B\Abbs Wilkins.pdf,76,W,Fletcher,,,Attorney,,W Fletcher,usct_pension_files\A_B\Abbs Wilkins.pdf,24
280,usct_pension_files\A_B\Abbs Wilkins.pdf,76,W,Fletcher,,,Attorney,,W Fletcher,usct_pension_files\A_B\Abbs Wilkins.pdf,24
281,usct_pension_files\A_B\Abbs Wilkins.pdf,76,W,Fletcher,,,Attorney,,W Fletcher,usct_pension_files\A_B\Abbs Wilkins.pdf,24
25,usct_pension_files\A_B\Abbs Wilkins.pdf,6,E,J Fitch,J,J,Examiner for claim rejection.,Examiner,E J J Fitch,usct_pension_files\A_B\Abbs Wilkins.pdf,25
26,usct_pension_files\A_B\Abbs Wilkins.pdf,6,J,O Morgan,O,O,Legal Reviewer.,Legal Reviewer,J O O Morgan,usct_pension_files\A_B\Abbs Wilkins.pdf,26
27,usct_pension_files\A_B\Abbs Wilkins.pdf,6,,Bullock,,,Medical Examiner for the claim.,Medical Examiner,Bullock,usct_pension_files\A_B\Abbs Wilkins.pdf,27
28,usct_pension_files\A_B\Abbs Wilkins.pdf,6,J,Mead,,,Medical Reviewer.,Medical Reviewer,J Mead,usct_pension_files\A_B\Abbs Wilkins.pdf,28
29,usct_pension_files\A_B\Abbs Wilkins.pdf,6,Sam,Houston Foster,,,Medical Referee.,Medical Referee,Sam Houston Foster,usct_pension_files\A_B\Abbs Wilkins.pdf,29
31,usct_pension_files\A_B\Abbs Wilkins.pdf,7,Miss,Stovall,,,,,Miss Stovall,usct_pension_files\A_B\Abbs Wilkins.pdf,31
33,usct_pension_files\A_B\Abbs Wilkins.pdf,8,Nelly,O'Brien,,,widow claimant,,Nelly O'Brien,usct_pension_files\A_B\Abbs Wilkins.pdf,33
43,usct_pension_files\A_B\Abbs Wilkins.pdf,9,Nelly,O'Brien,,,Secretary of the American Red Cross,Secretary,Nelly O'Brien,usct_pension_files\A_B\Abbs Wilkins.pdf,33
56,usct_pension_files\A_B\Abbs Wilkins.pdf,12,Nellie,O'Brien,,,Secretary of the committee,Secretary,Nellie O'Brien,usct_pension_files\A_B\Abbs Wilkins.pdf,33
34,usct_pension_files\A_B\Abbs Wilkins.pdf,8,Sallie,Gordon Abbs,,,widow claimant,,Sallie Gordon Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,34
42,usct_pension_files\A_B\Abbs Wilkins.pdf,9,Sallie,Gordon Abbs,,,Widow of Civil War Veteran,,Sallie Gordon Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,34
57,usct_pension_files\A_B\Abbs Wilkins.pdf,12,Sallie,Cordon Abbs,,,"Claimant for pension, widow of a Civil War veteran",,Sallie Cordon Abbs,usct_pension_files\A_B\Abbs Wilkins.pdf,34
35,usct_pension_files\A_B\Abbs Wilkins.pdf,8,E,Morgan,W,W,acting commissioner,Acting Commissioner,E W Morgan,usct_pension_files\A_B\Abbs Wilkins.pdf,35
35,usct_pension_files\A_B\Abbs Wilkins.pdf,8,E,Morgan,W,W,acting commissioner,Acting Commissioner,E W Morgan,usct_pension_files\A_B\Abbs Wilkins.pdf,35
47,usct_pension_files\A_B\Abbs Wilkins.pdf,10,E,Morgan,W,W,sender of letter,Acting Commissioner,E W Morgan,usct_pension_files\A_B\Abbs Wilkins.pdf,35
47,usct_pension_files\A_B\Abbs Wilkins.pdf,10,E,Morgan,W,W,sender of letter,Acting Commissioner,E W Morgan,usct_pension_files\A_B\Abbs Wilkins.pdf,35
51,usct_pension_files\A_B\Abbs Wilkins.pdf,11,Ew,Morgan,,,official correspondent,Acting Commissioner,E W Morgan,usct_pension_files\A_B\Abbs Wilkins.pdf,35
51,usct_pension_files\A_B\Abbs Wilkins.pdf,11,Ew,Morgan,,,official correspondent,Acting Commissioner,E W Morgan,usct_pension_files\A_B\Abbs Wilkins.pdf,35
274,usct_pension_files\A_B\Abbs Wilkins.pdf,75,E,Morgan,W,M,official correspondence,Acting Commissioner,E W Morgan,usct_pension_files\A_B\Abbs Wilkins.pdf,35
274,usct_pension_files\A_B\Abbs Wilkins.pdf,75,E,Morgan,W,M,official correspondence,Acting Commissioner,E W Morgan,usct_pension_files\A_B\Abbs Wilkins.pdf,35
36,usct_pension_files\A_B\Abbs Wilkins.pdf,9,Jh,Johnson,,,Chairman of the board,Chairman,J H Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
36,usct_pension_files\A_B\Abbs Wilkins.pdf,9,Jh,Johnson,,,Chairman of the board,Chairman,J H Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
46,usct_pension_files\A_B\Abbs Wilkins.pdf,10,J,Johnson,H,H,recipient of letter,,J H Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
46,usct_pension_files\A_B\Abbs Wilkins.pdf,10,J,Johnson,H,H,recipient of letter,,J H Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
49,usct_pension_files\A_B\Abbs Wilkins.pdf,11,Jh,Johnson,,,American Red Cross representative,,J H Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
49,usct_pension_files\A_B\Abbs Wilkins.pdf,11,Jh,Johnson,,,American Red Cross representative,,J H Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
52,usct_pension_files\A_B\Abbs Wilkins.pdf,12,Jh,Johnson,,,Chairman of the meeting,Chairman,J H Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
52,usct_pension_files\A_B\Abbs Wilkins.pdf,12,Jh,Johnson,,,Chairman of the meeting,Chairman,J H Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
257,usct_pension_files\A_B\Abbs Wilkins.pdf,68,J,Johnson,H,H,letter sender,,J H Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
257,usct_pension_files\A_B\Abbs Wilkins.pdf,68,J,Johnson,H,H,letter sender,,J H Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
288,usct_pension_files\A_B\Abbs Wilkins.pdf,77,Jh,Johnson,,,Clerk/Agent,,Jh Johnson,usct_pension_files\A_B\Abbs Wilkins.pdf,36
37,usct_pension_files\A_B\Abbs Wilkins.pdf,9,Wk,Herrin,,,Chairman of the finance committee,"Chairman, Finance",W K Herrin,usct_pension_files\A_B\Abbs Wilkins.pdf,37
53,usct_pension_files\A_B\Abbs Wilkins.pdf,12,Wk,Herrin,,,Chairman of the finance committee,"Chairman, Finance",W K Herrin,usct_pension_files\A_B\Abbs Wilkins.pdf,37
38,usct_pension_files\A_B\Abbs Wilkins.pdf,9,Mrs,Walter Clark,,,Vice-Chairman,Vice-Chairman,Mrs Walter Clark,usct_pension_files\A_B\Abbs Wilkins.pdf,38
39,usct_pension_files\A_B\Abbs Wilkins.pdf,9,Ep,Peacock,,,Treasurer of the committee,Treasurer,E P Peacock,usct_pension_files\A_B\Abbs Wilkins.pdf,39
55,usct_pension_files\A_B\Abbs Wilkins.pdf,12,Ep,Peacock,,,Treasurer of the committee,Treasurer,E P Peacock,usct_pension_files\A_B\Abbs Wilkins.pdf,39
40,usct_pension_files\A_B\Abbs Wilkins.pdf,9,Hm,Waddell,,,Chairman Executive Committee,,H M Waddell,usct_pension_files\A_B\Abbs Wilkins.pdf,40
41,usct_pension_files\A_B\Abbs Wilkins.pdf,9,Ac,,,,Claim number,,A C,usct_pension_files\A_B\Abbs Wilkins.pdf,41
